Fir	Las	Team	Pos	Height	Pts	Reb	Blk	Ast	Stl
Klay	Thompson	Warriors	SG	6'7"	21.7	3.9	.6	2.4	1.1
Patrick	Beverley	Clippers	PG	6'1"	7.6	5	.6	5	.9
Wilson	Chandler	Clippers	SF	6'9"	6	4.2	.4	1.6	.5
Angel	Delgado	Clippers	SF	6'10"	1.5	2	0	0	.5
Danilo	Gallinari	Clippers	SF	6'10"	19.9	6.2	.3	2.6	.7
Shai	Gilgeous-Alexander	Clippers	PG	6'6"	10.9	2.9	.6	2.9	1.2
JaMychal	Green	Clippers	PF	6'9"	9.3	6.4	.5	.8	.7
Montrezl	Harrell	Clippers	PF	6'8"	16.6	6.6	1.4	1.9	.9
Luc	Mbah a Moute	Clippers	PF	6'8"	5	1.8	.3	.5	.3
Jonathan	Motley	Clippers	PF	6'10"	4.4	2.1	.1	.5	.2
Jerome	Robinson	Clippers	SG	6'5"	3.1	1.1	.1	.5	.3
Landry	Shamet	Clippers	SG	6'5"	9	1.6	.1	1.4	.5
Garrett	Temple	Clippers	SG	6'6"	7.9	2.9	.4	1.4	1
Sindarius	Thornwell	Clippers	SG	6'5"	.9	.7	.1	.3	.2
Tyrone	Wallace	Clippers	SG	6'5"	3.4	1.6	.1	.7	.4
Lou	Williams	Clippers	SG	6'1"	20.1	2.9	.1	5.4	.7
Ivica	Zubac	Clippers	C	7'1"	8.7	6	.8	1.1	.2
Lonzo	Ball	Lakers	PG	6'6"	9.9	5.3	.4	5.4	1.5	
Isaac	Bonga	Lakers	PG	6'8"	1	1.1	.2	.7	.4
Kentavious	Caldwell-Pope	Lakers	SG	6'5"	10.9	2.8	.2	1.2	.9
Alex	Caruso	Lakers	SG	6'5"	8.7	2.6	.3	2.3	1
Tyson	Chandler	Lakers	C	7'1"	3.1	5.6	.4	.7	.4
Josh	Hart	Lakers	SG	6'5"	7.8	3.7	.6	1.4	1
Brandon	Ingram	Lakers	SF	6'9"	18.3	5.1	.6	3	.5
